RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           50     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   38   48     0     0  con    0  1.0D+00  1.9D-03  2.017D+00  3.977D-01
   39   49     0     0  con    0  1.0D+00  1.4D-03  1.702D+00  3.945D-01
   40   50     0     0  con    0  1.0D+00  1.3D-03  1.455D+00  3.936D-01
   41   51     0     0  con    0  1.0D+00  1.1D-03  1.509D+00  3.915D-01
   42   53     0     0  con    1  3.2D-01  5.9D-04  1.656D+00  3.900D-01
   43   55     0     0  con    1  2.9D-01  4.6D-04  1.381D+00  3.896D-01
   44   56     0     0  con    0  1.0D+00  5.6D-04  1.226D+00  3.888D-01
   45   57     0     0  con    0  1.0D+00  7.7D-04  2.078D+00  3.874D-01
   46   58     0     0  con    0  1.0D+00  2.3D-03  1.432D+00  3.870D-01
   47   59     0     0  con    0  1.0D+00  1.1D-03  4.435D+00  3.862D-01
   48   60     0     0  con    0  1.0D+00  4.4D-04  1.339D+00  3.848D-01
   49   61     0     0  con    0  1.0D+00  4.6D-04  1.326D+00  3.842D-01
   50   62     0     0  con    0  1.0D+00  3.5D-04  1.512D+00  3.835D-01
   51   63     0     0  con    0  1.0D+00  3.6D-04  1.954D+00  3.831D-01
   52   64     0     0  con    0  1.0D+00  3.3D-04  1.566D+00  3.827D-01
   53   65     0     0  con    0  1.0D+00  2.6D-04  1.521D+00  3.824D-01
   54   67     0     0  con    1  2.6D-01  1.1D-04  1.551D+00  3.822D-01
   55   69     0     0  con    1  4.3D-01  1.1D-04  1.265D+00  3.819D-01
   56   71     0     0  con    1  3.5D-01  7.3D-05  1.134D+00  3.818D-01
   57   73     0     0  con    1  3.7D-01  5.5D-05  1.501D+00  3.817D-01
   58   74     0     0  con    0  1.0D+00  1.1D-04  2.289D+00  3.817D-01
   59   75     0     0  con    0  1.0D+00  9.0D-05  1.597D+00  3.815D-01
   60   76     0     0  con    0  1.0D+00  8.6D-05  1.023D+00  3.815D-01
   61   77     0     0  con    0  1.0D+00  4.6D-05  1.337D+00  3.814D-01
   62   79     0     0  con    1  4.4D-01  3.2D-05  1.555D+00  3.814D-01
   63   81     0     0  con    1  3.4D-01  1.8D-05  1.726D+00  3.813D-01
   64   83     0     0  con    1  2.4D-01  1.3D-05  1.543D+00  3.813D-01
   65   84     0     0  con    0  1.0D+00  2.4D-05  1.315D+00  3.813D-01
   66   86     0     0  con    1  4.1D-01  1.1D-05  1.437D+00  3.813D-01
   67   88     0     0  con    1  2.3D-01  1.3D-05  1.460D+00  3.812D-01
   68   89     0     0  con    0  1.0D+00  9.6D-06  1.658D+00  3.812D-01
   69   90     0     0  con    0  1.0D+00  2.0D-05  1.655D+00  3.812D-01
   70   91     0     0  con    0  1.0D+00  8.4D-06  1.391D+00  3.812D-01
   71   93     0     0  con    1  3.8D-01  4.6D-06  1.368D+00  3.812D-01
   72   94     0     0  con    0  1.0D+00  1.0D-05  1.431D+00  3.812D-01
   73   95     0     0  con    0  1.0D+00  5.9D-06  1.235D+00  3.812D-01
   74   96     0     0  con    0  1.0D+00  1.0D-05  1.391D+00  3.812D-01
   75   97     0     0  con    0  1.0D+00  4.7D-06  1.484D+00  3.812D-01
   76   99     0     0  con    1  3.5D-01  2.4D-06  1.490D+00  3.812D-01
   77  100     0     0  con    0  1.0D+00  4.8D-06  1.267D+00  3.812D-01
   78  101     0     0  con    0  1.0D+00  3.8D-06  1.704D+00  3.811D-01
   79  103     0     0  con    1  2.5D-01  1.4D-06  1.700D+00  3.811D-01
   80  104     0     0  con    0  1.0D+00  2.2D-06  1.703D+00  3.811D-01

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

